Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Frequency of Purchases,Discount Applied,Previous Purchases,Payment Method,Subscription Status
168,33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4,Every 3 Months,Yes,14,Credit Card,Yes
463,59,Male,Jacket,Outerwear,81,Illinois,M,White,Fall,3.3,Every 3 Months,Yes,48,Venmo,Yes
1858,51,Male,T-shirt,Clothing,85,Colorado,L,Maroon,Summer,4,Monthly,No,33,Cash,No
1771,53,Male,Backpack,Accessories,22,Michigan,M,Pink,Fall,4.3,Weekly,No,34,Bank Transfer,No
546,33,Male,Coat,Outerwear,32,Alabama,L,Magenta,Summer,3.5,Annually,Yes,48,Debit Card,Yes
2333,36,Male,Scarf,Accessories,53,South Carolina,XL,Olive,Fall,2.6,Monthly,No,10,Venmo,No
2441,31,Male,Socks,Clothing,90,Indiana,M,Red,Spring,4.7,Annually,No,47,Bank Transfer,No
2056,28,Male,Handbag,Accessories,33,Texas,M,Silver,Fall,3.4,Weekly,No,28,Bank Transfer,No
2534,,Male,Jewelry,Accessories,46,Pennsylvania,S,Blue,Summer,3.1,Bi-Weekly,No,49,Cash,No
2170,31,Male,Coat,Outerwear,42,Florida,M,Brown,Fall,2.9,Bi-Weekly,No,32,Bank Transfer,No
2217,41,Male,Pants,Clothing,36,Vermont,XL,Silver,Winter,4,Bi-Weekly,No,15,Venmo,No
3535,65,Female,Shoes,Footwear,83,Delaware,M,Gray,Fall,3.2,Weekly,No,7,Cash,No
2557,24,Male,T-shirt,Clothing,88,Montana,XL,Magenta,Fall,3.1,Quarterly,No,4,Bank Transfer,No
1557,43,Male,Hoodie,Clothing,57,Alabama,M,Gold,Fall,2.7,Quarterly,Yes,26,Credit Card,No
1864,25,Male,Sandals,Footwear,21,Connecticut,L,Orange,Spring,4.3,Monthly,No,39,Debit Card,No
3742,58,Female,Shirt,Clothing,96,Arizona,M,Purple,Spring,3.2,Bi-Weekly,No,26,Debit Card,No
1623,31,Male,Shorts,Clothing,43,Missouri,S,Brown,Winter,4,Every 3 Months,Yes,37,Bank Transfer,No
1589,48,Male,Belt,Accessories,24,Vermont,L,Cyan,Winter,3.2,Monthly,Yes,3,Venmo,No
3004,51,Female,Blouse,Clothing,53,Oregon,M,Brown,Fall,2.8,Every 3 Months,No,13,Credit Card,No
1323,23,Male,Pants,Clothing,74,Washington,M,Violet,Winter,4,Quarterly,Yes,17,Bank Transfer,No
2623,63,Male,Backpack,Accessories,75,New Hampshire,M,Yellow,Spring,4.9,Annually,No,15,Credit Card,No
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Weekly,Yes,50,Credit Card,Yes
681,58,Male,Sneakers,Footwear,25,Tennessee,M,Magenta,Spring,4.2,Annually,Yes,3,PayPal,Yes
2967,52,Female,Boots,Footwear,49,Oklahoma,L,Orange,Fall,2.8,Every 3 Months,No,38,Debit Card,No
178,21,Male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Monthly,Yes,47,Bank Transfer,Yes
578,19,Male,Skirt,Clothing,52,Alabama,M,Black,Fall,3.7,Annually,Yes,41,Venmo,Yes
659,62,Male,Backpack,Accessories,37,Louisiana,S,White,Fall,4.9,Weekly,Yes,20,Venmo,Yes
1291,67,Male,Skirt,Clothing,35,Maryland,M,Indigo,Spring,3.4,Annually,Yes,3,PayPal,No
534,57,Male,Sandals,Footwear,60,North Carolina,L,Pink,Spring,4.5,Weekly,Yes,17,Debit Card,Yes
1048,31,Male,Socks,Clothing,36,Utah,S,Olive,Fall,4.2,Fortnightly,Yes,7,Credit Card,Yes
1168,60,Male,Socks,Clothing,83,New Jersey,XL,Beige,Summer,3.6,Quarterly,Yes,16,PayPal,No
971,45,Male,Jeans,Clothing,66,California,S,Maroon,Winter,4.4,Monthly,Yes,4,Cash,Yes
2929,40,Female,Jewelry,Accessories,80,Alabama,L,Yellow,Spring,3.6,Weekly,No,17,Credit Card,No
2067,64,Male,Sneakers,Footwear,92,Illinois,M,Olive,Fall,4.7,Fortnightly,No,44,Debit Card,No
3894,21,Female,Hat,Accessories,64,Massachusetts,L,White,Fall,3.3,Bi-Weekly,No,29,Bank Transfer,No
2321,28,Male,Shoes,Footwear,55,New Mexico,M,Olive,Spring,3.7,Every 3 Months,No,9,Debit Card,No
2519,20,Male,Boots,Footwear,51,Maine,XL,Blue,Fall,4,Annually,No,31,Venmo,No
2190,38,Male,Blouse,Clothing,94,Wisconsin,XL,Brown,Fall,4,Bi-Weekly,No,47,Credit Card,No
2783,41,Female,Gloves,Accessories,34,Idaho,S,Cyan,Spring,3.8,Annually,No,30,PayPal,No
2251,41,Male,Shoes,Footwear,89,Colorado,L,Pink,Summer,4.6,Weekly,No,19,Credit Card,No
1453,60,Male,Jacket,Outerwear,25,Colorado,L,Blue,Spring,4.7,Quarterly,Yes,11,Bank Transfer,No
1950,63,Male,Dress,Clothing,80,Nebraska,L,Gray,Winter,4.7,Quarterly,No,12,PayPal,No
2469,65,Male,Skirt,Clothing,21,Connecticut,L,Cyan,Winter,3.7,Weekly,No,6,Venmo,No
3024,50,Female,Backpack,Accessories,31,Indiana,M,Brown,Summer,2.9,Quarterly,No,4,PayPal,No
3452,32,Female,Blouse,Clothing,73,Nevada,XL,Silver,Fall,3,Annually,No,13,Credit Card,No
3678,32,Female,Backpack,Accessories,30,Michigan,M,Gray,Fall,2.8,Annually,No,43,Cash,No
1763,36,Male,Sandals,Footwear,42,Idaho,M,Brown,Summer,3.1,Fortnightly,No,41,Bank Transfer,No
690,19,Male,Hoodie,Clothing,91,Pennsylvania,M,Orange,Summer,,Every 3 Months,Yes,35,Credit Card,Yes
597,23,Male,Shoes,Footwear,37,Montana,XL,White,Summer,4.5,Annually,Yes,36,Venmo,Yes
3583,23,Female,Shorts,Clothing,41,California,S,Beige,Summer,3.4,Annually,No,15,PayPal,No
2392,42,Male,Shirt,Clothing,74,Michigan,M,Black,Winter,4.6,Quarterly,No,31,Bank Transfer,No
1123,70,Male,Handbag,Accessories,62,North Carolina,S,Charcoal,Spring,4.3,Annually,Yes,12,Credit Card,No
3074,58,Female,Shirt,Clothing,63,Oregon,L,White,Winter,3.6,Bi-Weekly,No,7,Debit Card,No
2508,,Male,Shoes,Footwear,36,Louisiana,M,Cyan,Fall,2.9,Every 3 Months,No,32,Credit Card,No
2817,43,Female,Skirt,Clothing,28,Maryland,M,Black,Spring,3.5,Weekly,No,45,Venmo,No
544,53,Male,Skirt,Clothing,98,Alabama,S,Red,Spring,4.3,Monthly,Yes,11,Credit Card,Yes
2367,30,Male,Shoes,Footwear,66,New Mexico,L,Brown,Winter,3.6,Fortnightly,No,32,Credit Card,No
1390,59,Male,Scarf,Accessories,72,Illinois,L,Orange,Fall,2.6,Fortnightly,Yes,8,Debit Card,No
1326,28,Male,Backpack,Accessories,73,Oregon,L,Gold,Summer,3.5,Monthly,Yes,1,Cash,No
2029,29,Male,Shoes,Footwear,84,Ohio,XL,Purple,Fall,3.7,Bi-Weekly,No,10,Venmo,No
1524,54,Male,Socks,Clothing,88,Georgia,M,White,Summer,3.3,Annually,Yes,35,Debit Card,No
2885,55,Female,Boots,Footwear,50,Arkansas,M,Purple,Summer,3.4,Every 3 Months,No,47,Credit Card,No
3692,63,Female,Sandals,Footwear,21,Michigan,XL,Orange,Summer,4.8,Weekly,No,24,PayPal,No
3495,62,Female,Scarf,Accessories,38,Washington,M,Silver,Winter,3.5,Quarterly,No,41,PayPal,No
2241,57,Male,Sandals,Footwear,71,California,L,Green,Winter,4.3,Every 3 Months,No,18,Debit Card,No
3187,38,Female,Jewelry,Accessories,93,Virginia,S,Cyan,Winter,4.8,Annually,No,43,Venmo,No
2551,53,Male,Boots,Footwear,52,New Hampshire,XL,Peach,Fall,3,Fortnightly,No,30,Debit Card,No
1948,59,Male,Shirt,Clothing,32,New York,M,Gray,Summer,2.6,Monthly,No,2,PayPal,No
3382,57,Female,Hat,Accessories,66,Minnesota,L,Turquoise,Winter,4.7,Quarterly,No,27,Credit Card,No
3695,45,Female,Sweater,Clothing,41,Rhode Island,M,Blue,Winter,2.6,Bi-Weekly,No,11,PayPal,No
290,49,Male,Coat,Outerwear,85,New York,M,Yellow,Fall,4.5,Monthly,Yes,26,Credit Card,Yes
1018,21,Male,Jacket,Outerwear,53,Oklahoma,L,Orange,Fall,2.5,Annually,Yes,14,Credit Card,Yes
2825,39,Female,Hat,Accessories,90,Utah,M,Purple,Fall,4,Quarterly,No,49,Debit Card,No
2234,38,Male,Blouse,Clothing,31,Florida,XL,Gray,Summer,4.5,Monthly,No,48,Credit Card,No
3444,47,Female,Dress,Clothing,24,Tennessee,L,Silver,Summer,5,Bi-Weekly,No,28,Cash,No
2845,32,Female,Hat,Accessories,79,New Mexico,M,Indigo,Summer,4.4,Annually,No,42,Venmo,No
1588,41,Male,Socks,Clothing,99,Alabama,M,Beige,Summer,3.5,Fortnightly,Yes,33,Credit Card,No
3877,60,Female,Shoes,Footwear,85,Wisconsin,S,Cyan,Fall,2.6,Annually,No,7,Cash,No
644,18,Male,Sweater,Clothing,57,Oregon,XL,Green,Winter,3.2,Every 3 Months,Yes,10,Bank Transfer,Yes
3244,45,Female,Hoodie,Clothing,99,Idaho,L,Black,Summer,5,Every 3 Months,No,11,Bank Transfer,No
261,38,Male,Hat,Accessories,57,Montana,S,Red,Winter,3.2,Every 3 Months,Yes,11,Credit Card,Yes
1965,40,Male,Pants,Clothing,51,West Virginia,S,Cyan,Summer,4.6,Monthly,No,50,Debit Card,No
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Weekly,Yes,23,Credit Card,Yes
3131,52,Female,Pants,Clothing,20,Vermont,M,Yellow,Summer,4.5,Every 3 Months,No,34,Venmo,No
3855,57,Female,T-shirt,Clothing,20,Florida,M,Black,Spring,4.2,Annually,No,4,Venmo,No
3853,65,Female,Hat,Accessories,79,Mississippi,M,Peach,Fall,4,Weekly,No,19,PayPal,No
3279,59,Female,Dress,Clothing,70,Montana,M,Black,Summer,3.3,Weekly,No,18,Bank Transfer,No
3499,47,Female,Sandals,Footwear,35,Kentucky,M,Lavender,Summer,3.8,Bi-Weekly,No,2,Bank Transfer,No
1159,69,Male,Belt,Accessories,89,Nevada,L,Orange,Summer,4,Annually,Yes,41,Bank Transfer,No
2446,63,Male,Scarf,Accessories,96,Tennessee,M,Brown,Summer,4.1,Weekly,No,50,Cash,No
892,20,Male,Skirt,Clothing,26,Pennsylvania,S,Lavender,Summer,3.9,Every 3 Months,Yes,24,PayPal,Yes
3551,63,Female,Shoes,Footwear,74,West Virginia,S,Orange,Winter,4.8,Weekly,No,32,Cash,No
3828,62,Female,Jewelry,Accessories,73,Montana,M,Red,Summer,4.1,Fortnightly,No,47,Cash,No
1199,40,Male,Socks,Clothing,49,New Jersey,M,Brown,Summer,3.9,Annually,Yes,17,Cash,No
2892,47,Female,T-shirt,Clothing,73,Ohio,XL,Black,Winter,2.5,Monthly,No,10,PayPal,No
1422,68,Male,Dress,Clothing,100,Pennsylvania,S,Gold,Spring,3,Fortnightly,Yes,24,Bank Transfer,No
3601,67,Female,Dress,Clothing,81,South Carolina,XL,Olive,Spring,2.7,Bi-Weekly,No,25,Cash,No
2106,65,Male,Gloves,Accessories,35,South Carolina,M,Silver,Spring,4.5,Bi-Weekly,No,38,Venmo,No
3116,26,Female,Scarf,Accessories,53,South Dakota,M,Charcoal,Fall,4.1,Bi-Weekly,No,9,Bank Transfer,No
473,20,Male,Jeans,Clothing,39,Georgia,L,Gray,Winter,3.9,Quarterly,Yes,3,Bank Transfer,Yes
1151,29,Male,Jewelry,Accessories,36,Kentucky,S,Red,Winter,2.7,Bi-Weekly,Yes,50,Venmo,No
251,33,Male,Skirt,Clothing,25,Mississippi,L,Black,Fall,,Weekly,Yes,9,Bank Transfer,Yes
474,34,Male,Coat,Outerwear,42,West Virginia,L,Olive,Spring,3.9,Every 3 Months,Yes,29,PayPal,Yes
688,19,Male,Gloves,Accessories,38,West Virginia,XL,Turquoise,Winter,3.3,Quarterly,Yes,46,Bank Transfer,Yes
2864,37,Female,T-shirt,Clothing,56,Connecticut,M,Yellow,Fall,3.9,Monthly,No,18,Venmo,No
3856,40,Female,Shirt,Clothing,61,Illinois,XL,Lavender,Summer,4.4,Quarterly,No,36,Cash,No
1400,19,Male,Hat,Accessories,81,Nebraska,M,Olive,Winter,3.1,Annually,Yes,48,Venmo,No
3796,45,Female,Gloves,Accessories,92,Arkansas,M,Charcoal,Spring,2.5,Weekly,No,3,Cash,No
229,18,Male,Socks,Clothing,79,New Hampshire,M,White,Spring,2.9,Annually,Yes,11,Credit Card,Yes
1774,21,Male,Coat,Outerwear,92,West Virginia,M,Blue,Summer,2.7,Annually,No,17,PayPal,No
242,,Male,Hoodie,Clothing,88,Delaware,M,Peach,Winter,4.1,Bi-Weekly,Yes,43,Venmo,Yes
1584,37,Male,Scarf,Accessories,92,Maryland,XL,Yellow,Summer,4.3,Annually,Yes,8,Venmo,No
2178,24,Male,Gloves,Accessories,93,Montana,XL,Green,Winter,3,Bi-Weekly,No,9,PayPal,No
1732,21,Male,Backpack,Accessories,87,Idaho,M,Gray,Fall,3.1,Monthly,No,12,Cash,No
591,64,Male,Belt,Accessories,39,Alaska,S,Turquoise,Fall,4.6,Fortnightly,Yes,30,Venmo,Yes
256,43,Male,Scarf,Accessories,20,Maryland,M,Charcoal,Spring,4.2,Annually,Yes,25,Debit Card,Yes
514,22,Male,Scarf,Accessories,65,New Mexico,M,Peach,Fall,3.6,Annually,Yes,45,Venmo,Yes
718,21,Male,Socks,Clothing,90,Alaska,L,Green,Spring,4.2,Every 3 Months,Yes,7,Venmo,Yes
1978,24,Male,Sandals,Footwear,49,Florida,M,Teal,Summer,2.6,Annually,No,32,Bank Transfer,No
2717,47,Female,Shoes,Footwear,40,Colorado,L,Black,Spring,2.7,Weekly,No,21,Debit Card,No
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Every 3 Months,Yes,18,Credit Card,Yes
917,49,Male,Jeans,Clothing,34,Illinois,S,Blue,Spring,2.7,Monthly,Yes,16,Venmo,Yes
3120,63,Female,Sandals,Footwear,79,Louisiana,XL,Silver,Winter,4.7,Every 3 Months,No,21,Credit Card,No
2408,52,Male,Shorts,Clothing,38,Illinois,M,Beige,Summer,3,Bi-Weekly,No,11,Credit Card,No
1373,64,Male,Blouse,Clothing,61,Michigan,M,Gray,Fall,4,Bi-Weekly,Yes,44,PayPal,No
3410,24,Female,Shirt,Clothing,93,Minnesota,M,Teal,Summer,3.2,Every 3 Months,No,3,Credit Card,No
1775,46,Male,Sweater,Clothing,78,New York,M,Lavender,Spring,3.7,Weekly,No,6,PayPal,No
2456,20,Male,Belt,Accessories,98,Alaska,L,Lavender,Spring,3.4,Every 3 Months,No,25,Cash,No
458,25,Male,Gloves,Accessories,99,Rhode Island,M,Blue,Spring,4.9,Every 3 Months,Yes,48,Debit Card,Yes
3869,18,Female,Dress,Clothing,29,Maryland,XL,Magenta,Winter,3.3,Annually,No,9,Cash,No
3064,26,Female,Sunglasses,Accessories,43,Connecticut,L,Brown,Winter,3.9,Fortnightly,No,24,Credit Card,No
3838,45,Female,Hoodie,Clothing,100,New Mexico,M,Green,Spring,4.8,Fortnightly,No,33,Bank Transfer,No
1315,42,Male,Boots,Footwear,67,Missouri,S,Magenta,Summer,3.4,Annually,Yes,49,Debit Card,No
543,27,Male,Boots,Footwear,79,Illinois,XL,Teal,Spring,4.6,Bi-Weekly,Yes,35,Cash,Yes
3860,65,Female,Shorts,Clothing,88,Mississippi,S,Blue,Fall,3,Bi-Weekly,No,47,Bank Transfer,No
2751,51,Female,Sandals,Footwear,66,Alaska,L,Pink,Spring,2.7,Every 3 Months,No,26,PayPal,No
1364,36,Male,Blouse,Clothing,90,Wisconsin,L,Red,Summer,4,Quarterly,Yes,47,PayPal,No
838,25,Male,Hoodie,Clothing,28,Illinois,L,Brown,Spring,4.9,Every 3 Months,Yes,33,Cash,Yes
